Generic Name	Trade Name	UNII
Sermorelin acetate	Geref	00IBG87IQW
Coagulation factor IX (recombinant), Fc fusion protein	Alprolix	02E00T2QDE
Tinidazole	Tindamax	033KF7V46H
tinidazole	Tindamax	033KF7V46H
Cytarabine liposomal	Depocyt	04079A1RDZ
obeticholic acid	Ocaliva	0462Z4S4OZ
Aprotinin	Trasylol	04XPW8C0FL
Fluocinolone	Retisert	0CD5FD6S2M
Levocarnitine	Carnitor	0G389FZZ9M
Levocarnitine	Carnitor	0G389FZZ9M
Levocarnitine	Carnitor	0G389FZZ9M
chenodiol	Chenix	0GEI24LG0J
Topiramate	Topamax	0H73WJJ391
Taliglucerase alfa	Elelyso For Injection	0R4NLX88O4
L-glutamine	Endari	0RH81L854J
Glutamine	Nutrestore	0RH81L854J
Pilocarpine	Salagen	0WW6D218XJ
Pilocarpine HCl	Salagen	0WW6D218XJ
Botulinum toxin type B	Myobloc	0Y70779M1F
Cytomegalovirus immune globulin (human)	Cytogam	129L90A25N
elotuzumab	Empliciti	1351PE5UGS
elotuzumab	Empliciti	1351PE5UGS
Metronidazole (topical)	Metrogel	140QMO216E
mipomersen	Kynamro	18EAY4870E
niraparib	Zejula	195Q483UZD
niraparib	Zejula	195Q483UZD
cannabidiol	Epidiolex	19GBJ60SN5
cannabidiol	Epidiolex	19GBJ60SN5
Potassium Iodide Oral Solution	Thyroshield	1C4QK22F9J
letermovir	Prevymis	1H09Y5WO1F
cinacalcet	Sensipar	1K860WSG25
cinacalcet	Sensipar	1K860WSG25
cinacalcet	Sensipar	1K860WSG25
Alitretinoin	Panretin	1UA8E65KDZ
melphalan	Evomela	1VXP4V453T
Rifabutin	Mycobutin	1W306TDA6S
ibrutinib	Imbruvica	1X70OSD4VX
ibrutinib	Imbruvica	1X70OSD4VX
ibrutinib	Imbruvica	1X70OSD4VX
ibrutinib	Imbruvica	1X70OSD4VX
ibrutinib	Imbruvica	1X70OSD4VX
ibrutinib	Imbruvica	1X70OSD4VX
ibrutinib	Imbruvica	1X70OSD4VX
ibrutinib	Imbruvica	1X70OSD4VX
ibrutinib	Imbruvica	1X70OSD4VX
ibrutinib	Imbruvica	1X70OSD4VX
Fludarabine phosphate	Fludara	1X9VK9O1SC
afamelanotide	Scenesse	1XCC161YKC
Balsalazide disodium	Colazal	1XL6BJI034
ivacaftor	Kalydeco	1Y740ILL1Z
ivacaftor	Kalydeco	1Y740ILL1Z
ivacaftor	Kalydeco	1Y740ILL1Z
ivacaftor	Kalydeco	1Y740ILL1Z
ivacaftor	Kalydeco	1Y740ILL1Z
ivacaftor	Kalydeco	1Y740ILL1Z
ivacaftor	Kalydeco	1Y740ILL1Z
ivacaftor	Kalydeco	1Y740ILL1Z
vemurafenib	Zelboraf	207SMY3FQT
vemurafenib	Zelboraf	207SMY3FQT
tolvaptan	Jynarque	21G72T1950
Interferon gamma-1b	Actimmune	21K6M2I7AG
Interferon gamma 1-b	Actimmune	21K6M2I7AG
Epirubicin	Ellence	22966TX7J5
lanadelumab-flyo	Takhzyro	2372V1TKXK
velaglucerase-alfa	Vpriv	23HYE36B0I
Toremifene	Fareston	2498Y783QT
regorafenib	Stivarga	24T2A1DOYB
regorafenib	Stivarga	24T2A1DOYB
denileukin diftitox	Ontak	25E79B5CTM
hydroxyprogesterone caproate	Makena	276F2O42F5
hydroxyprogesterone caproate	Makena	276F2O42F5
Alglucerase injection	Ceredase	27T56C7KK0
dantrolene sodium suspension for injection	Ryanodex	287M0347EV
obiltoxaximab	Anthim	29Z5DNL48C
Valrubicin	Valstar	2C6NUM6878
glucarpidase	Voraxaze	2GFP9BJD79
Icodextrin 7.5% with Electrolytes Peritoneal Dialysis Solution	Extraneal (With 7.5% Icodextrin) Peritoneal Dialysis Solutio	2NX48Z0A9G
pemetrexed disodium	Alimta	2PKU919BA9
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
bevacizumab	Avastin	2S9ZZM9Q9V
Pretomanid	Pretomanid	2XOI31YC4N
Nitric oxide	Inomax	31C4KY9ESH
isavuconazonium sulfate	Cresemba	31Q44514JV
isavuconazonium sulfate	Cresemba	31Q44514JV
nivolumab	Opdivo	31YO63LBSN
nivolumab	Opdivo	31YO63LBSN
nivolumab	Opdivo	31YO63LBSN
nivolumab	Opdivo	31YO63LBSN
nivolumab	Opdivo	31YO63LBSN
nivolumab	Opdivo	31YO63LBSN
mifepristone	Korlym	320T6RNW1F
icatibant	Firazyr	325O8467XK
intravenous carbamazepine	Carnexiv	33CM23913M
Varicella Zoster Immune Globulin (Human)	Varizig	33T61IWL27
pazopanib	Votrient	33Y9ANM545
canakinumab	Ilaris	37CQ2C7X93
canakinumab	Ilaris	37CQ2C7X93
canakinumab	Ilaris	37CQ2C7X93
canakinumab	Ilaris	37CQ2C7X93
canakinumab	Ilaris	37CQ2C7X93
Leuprolide acetate	Lupron Injection	37JNS02E7V
Coagulation Factor IX (recombinant)	Benefix	382L14738L
coagulation factor IX (recombinant)	Rixubis	382L14738L
pentostatin for injection	Nipent	395575MZO7
lenvatinib	Lenvima	3J78384F61
lenvatinib	Lenvima	3J78384F61
Recombinant human luteinizing hormone	Luveris	3JGY52XJNA
dehydrated alcohol	Ablysinol	3K9958V90M
telotristat etiprate	Xermelo	3T25U84H4U
buprenorphine in combination with naloxone	Suboxone	40D3SCR4GZ
rucaparib	Rubraca	41AX9SJ8KO
rucaparib	Rubraca	41AX9SJ8KO
Allopurinol sodium	Aloprim For Injection	428673RC2Z
ruxolitinib phosphate	Jakafi	436LRU32H5
ruxolitinib	Jakafi	436LRU32H5
ruxolitinib	Jakafi	436LRU32H5
ixazomib citrate	Ninlaro	46CWK97Z3K
triclabendazole	Egaten	4784C8E03O
Cladribine	Leustatin Injection	47M74X9YT5
Interferon alfa-2a	Roferon A	47RRR83SK7
Interferon alfa-2a (recombinant)	Roferon-A	47RRR83SK7
Rho (D) immune globulin intravenous (human)	Winrho Sd	48W7181FLP
ribavirin	Rebetol	49717AWG6K
zidovudine	Retrovir	4B9XT59T7S
nusinersen	Spinraza	4CHB7QQU1Q
denosumab	Xgeva	4EQZ6YO2HI
denosumab	Xgeva	4EQZ6YO2HI
rituximab	Rituxan	4F4X42SYQ6
rituximab	Rituxan	4F4X42SYQ6
rituximab and recombinant human hyaluronidase	Rituxan Sc	4F4X42SYQ6
rituximab and recombinant human hyaluronidase	Rituxan Sc	4F4X42SYQ6
rituximab	Rituxan	4F4X42SYQ6
rituximab	Rituxan	4F4X42SYQ6
raloxifene	Evista	4F86W47BR6
blinatumomab	Blincyto	4FR53SIF3A
blinatumomab	Blincyto	4FR53SIF3A
Epoprostenol	Flolan	4K04IQ1OF4
epoprostenol	Flolan	4K04IQ1OF4
Eflornithine HCl	Ornidyl	4NH22NDW9H
ibritumomab tiuxetan	Zevalin	4Q52C550XK
eltrombopag	Promacta	4U07F515LG
eltrombopag	Promacta	4U07F515LG
eltrombopag	Promacta	4U07F515LG
duvelisib	Copiktra	4WD61MR063
duvelisib	Copiktra	4WD61MR063
daratumumab	Darzalex	4Z63YK6E0E
daratumumab	Darzalex	4Z63YK6E0E
daratumumab	Darzalex	4Z63YK6E0E
daratumumab	Darzalex	4Z63YK6E0E
daratumumab	Darzalex	4Z63YK6E0E
daratumumab	Darzalex	4Z63YK6E0E
Thalidomide	Thalomid	4Z8R6ORS6L
Thalidomide	Thalomid	4Z8R6ORS6L
bosutinib	Bosulif	5018V4AEZ0
bosutinib	Bosulif	5018V4AEZ0
dacomitinib	Vizimpro	5092U85G58
Lodoxamide tromethamine	Alomide Ophthalmic Solution	50LV9A548L
mitomycin-C	Mitosol	50SG953SK6
atezolizumab	Tecentriq	52CMI0WC3Y
Dexrazoxane	Zinecard	5346058Q7S
crizotinib	Xalkori	53AH36668S
crizotinib	Xalkori	53AH36668S
miltefosine	Impavido	53EY29W7EC
Tretinoin	Vesanoid	5688UTC01R
Corticorelin ovine triflutate	Acthrel	56X54T817Q
nimodipine	Nymalize	57WA9QZ5WH
vorinostat	Zolinza	58IFB293JI
