Cat No	Product Name	Cas Number	SMILES	Primary Action	Biological Description	References	Product Type	Public Caveats	URL	Previous Order	UK Controlled	USA Controlled	Date Added
0101	DL-AP4	[20263-07-4]	O=C(C(N)CCP(O)(O)=O)O	Broad spectrum EAA antagonist	Broad spectrum EAA ligand. Separate isomers D-AP4 and L-AP4 also available (Cat. No's. 0102 and 0103 respectively).	Evans et al (1979) Antagonism of excitatory amino acid-induced responses and of synaptic excitation in the isolated spinal cord of the frog. Br.J.Pharmacol. 67 591. PMID:316343. Evans et al (1982) The effect of a series of _-phosphonic-_-carboxylic amino acids on electrically evoked and amino acid induced responses in isolated spinal cord preparations. Br.J.Pharmacol. 75 65. PMID:7042024.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1184				Jan-1901
0102	D-AP4	[78739-01-2]	N[C@@]([H])([C@](O)=O)CCP(O)(O)=O	Broad spectrum EAA antagonist	Broad spectrum excitatory amino acid receptor antagonist. Also agonist at the quisqualate-sensitized AP6 site in hippocampus where it is less potent than L-AP4. DL Mixture (Cat. No. 0101) and L-isomer (Cat. No. 0103) also available.	Davies and Watkins (1982) Actions of D and L forms of 2-amino-5-phosphonovalerate and 2-amino-4-phosphonobutyrate in the cat spinal cord. Brain Res. 235 378. PMID:6145492. Evans et al (1982) The effect of a series of _-phosphonic-_-carboxylic amino acids on electrically evoked and amino acid induced responses in isolated spinal cord preparations. Br.J.Pharmacol. 75 65. PMID:7042024. Schulte et al (1994) Utilization of the resolved L-isomer of 2-amino-6-phosphonhexanoic acid (L-AP6) as a selective agonist for a quisqualate-sensitized site in hippocampal CA1 pyramidal neurons. Brain Res. 649 203. PMID:7953634.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1185				Jan-1901
0103	L-AP4	[23052-81-5]	[H][C@@](CCP(O)(O)=O)(N)C(O)=O	Selective group III mGlu agonist	Selective group III metabotropic glutamate receptor agonist. Synaptic depressant. Agonist at the quisqualate-sensitized AP6 site in hippocampus. Also available as part of the Group III mGlu Receptor Tocriset and Mixed mGlu Receptor Tocriset. DL Mixture (Cat. No. 0101) and D-isomer (Cat. No. 0102) also available.	"Evans et al (1982) The effect of a series of _-phosphonic-_-carboxylic amino acids on electrically evoked and amino acid induced responses in isolated spinal cord preparations. Br.J.Pharmacol. 75 65. PMID:7042024. Nakanishi (1992) Molecular diversity of glutamate receptors and implications for brain functions. Science 258 597. PMID:1329206. Tones et al (1995) The agonist selectivity of a class III metabotropic glutamate receptor, human mGluR4a, is determined by the N-terminal extracellular domain. NeuroReport 7 117. PMID:8742431. Bushell et al (1995) Antagonism of the synaptic depressant actions of L-AP4 in the lateral perforant path by MAP4. Neuropharmacology 34 239. PMID:7617150."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1186				Jan-1995
0104	DL-AP7	[78966-69-5]	NC(C(O)=O)CCCCCP(O)(O)=O	Specific NMDA antagonist	First generation phosphono NMDA antagonist. Anticonvulsant. Separate isomer D-AP7 also available (Cat. No. 0164).	Evans et al (1982) The effect of a series of _-phosphonic-_-carboxylic amino acids on electrically evoked and amino acid induced responses in isolated spinal cord preparations. Br.J.Pharmacol. 75 65. PMID:7042024. Meldrum and Chapman (1994) Competitive NMDA antagonists as drugs. In The NMDA Receptor (2nd edition). Eds. G. L. Col 457.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1243	SQ1070			Jan-1901
0105	DL-AP5	[76326-31-3]	NC(C(O)=O)CCCP(O)(O)=O	"Potent, selective NMDA antagonist"	"Potent NMDA antagonist. Separate isomers D-AP5 (Cat. No. 0106), L-AP5 (Cat. No. 0107) and sodium salt DL-AP5 Sodium salt (Cat. No. 3693) also available."	Davies and Watkins (1982) Actions of D and L forms of 2-amino-5-phosphonovalerate and 2-amino-4-phosphonobutyrate in the cat spinal cord. Brain Res. 235 378. PMID:6145492. Evans et al (1982) The effect of a series of _-phosphonic-_-carboxylic amino acids on electrically evoked and amino acid induced responses in isolated spinal cord preparations. Br.J.Pharmacol. 75 65. PMID:7042024.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1191				Sep-1994
0106	D-AP5	[79055-68-8]	N[C@@]([H])([C@](O)=O)CCCP(O)(O)=O	"Potent, selective NMDA antagonist; more active form of DL-AP5 (Cat. No. 0105)"	"Widely used competitive NMDA antagonist. More active form of AP5. Also agonist at quisqualate-sensitized AP6 site where it is less potent than the L-isomer, L-AP5 (Cat. No. 0107). Also available as part of the Mixed NMDA Receptor Tocriset or as a mixed isomer DL-AP5 (Cat. No. 0105)."	Davies and Watkins (1982) Actions of D and L forms of 2-amino-5-phosphonovalerate and 2-amino-4-phosphonobutyrate in the cat spinal cord. Brain Res. 235 378. PMID:6145492. Evans et al (1982) The effect of a series of _-phosphonic-_-carboxylic amino acids on electrically evoked and amino acid induced responses in isolated spinal cord preparations. Br.J.Pharmacol. 75 65. PMID:7042024. Schulte et al (1994) Utilization of the resolved L-isomer fo 2-amino-6-phosphonohexanoic acid (L-AP6) as a selective agonist for a quisqualate-sensitized site in hippocampal CA1 pyramidal neurons. Brain Res. 649 203. PMID:7953634.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1192				Sep-1994
0107	L-AP5	[79055-67-7]	[H][C@@](CCCP(O)(O)=O)(N)C(O)=O	"Potent, selective NMDA antagonist. Less active form of DL-AP5 (Cat. No. 0105)"	"NMDA antagonist. Also agonist at quisqualate-sensitized AP6 site, where it is more potent than the isomer D-AP5 (Cat. No. 0106). Mixture DL-AP5 (Cat. No. 3693) also available."	Davies and Watkins (1982) Actions of D and L forms of 2-amino-5-phosphonovalerate and 2-amino-4-phosphonobutyrate in the cat spinal cord. Brain Res. 235 378. PMID:6145492. Evans et al (1982) The effect of a series of _-phosphonic-_-carboxylic amino acids on electrically evoked and amino acid induced responses in isolated spinal cord preparations. Br.J.Pharmacol. 75 65. PMID:7042024. Schulte et al (1994) Utilization of the resolved L-isomer fo 2-amino-6-phosphonohexanoic acid (L-AP6) as a selective agonist for a quisqualate-sensitized site in hippocampal CA1 pyramidal neurons. Brain Res. 649 203. PMID:7953634.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1193				Jan-1901
0109	(-)-Bicuculline methobromide	[73604-30-5]	[H][C@](C(C=CC6=C5OCO6)=C5C(O4)=O)4[C@]2([H])C1=CC3=C(OCO3)C=C1CC[N+](C)2C.[Br-]	Water-soluble GABAA antagonist	Methobromide salt of (+)-bicuculline (Cat. No. 0130). Water soluble and more stable than bicuculline. Non-GABA receptor-mediated actions reported.	Bowery et al (1983) Characteristics of GABAB receptor binding sites on rat whole brain synaptic membranes. Br.J.Pharmacol. 78 191. PMID:6297646. Sperber et al (1987) Nigral infusions of muscimol or bicuculline facilitate seizures in developing rats. Brain Res. 465 243. PMID:3440204. Seutin and Johnson (1999) Recent advances in the pharmacology of quaternary salts of bicuculline. TiPS 20 268. PMID:10390643.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2029				Jan-1901
0111	Dihydrokainic acid	[52497-36-6]	O=C(C[C@H]1[C@@H]([C@H](C)C)CN[C@@H]1[C@](O)=O)O	EAAT2 (GLT-1)-selective non-transportable inhibitor of L-glutamate and L-aspartate uptake	EAAT2(GLT1)-selective non-transportable inhibitor of L-glutamate and L-aspartate uptake (Ki = 23 _M). 130-fold selective over EAAT1 and EAAT3 (Ki > 3 mM). Also available as part of the Excitatory Amino Acid Transporter Inhibitor Tocriset.	"Munoz et al (1987) Effects of dihydrokainic acid on extracellular amino acids and neuronal excitability in the in vivo rat hippocampus. Neuropharmacology 26 1. PMID:2882438. Arriza et al (1994) Functional comparisons of three glutamate transporter subtypes cloned from human motor cortex. J.Neurosci. 14 5559. PMID:7521911. Kanal et al (1994) The neuronal and epithelial high affinity glutamate transporter, insights into structure and mechanism of transport. J.Biol.Chem. 269 20599. PMID:7914198."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1298				Aug-2000
0112	_DGG	[6729-55-1]	N[C@@]([H])([C@](O)=O)CCC(NCC(O)=O)=O	Broad spectrum glutamate receptor antagonist	Broad spectrum glutamate receptor antagonist.	Jones et al (1984) Structure-activity relations of dipeptide antagonists of excitatory amino acids. Neuroscience 13 573. PMID:6392929. Aksenov et al (2005) Glutamate neurotransmission in the cerebellar interposed nuclei: involvement in classical conditioned eyeblinks and neuronal activity. J.Neurophysiol. 93 44. PMID:15331619.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1273				Jan-1901
0114	NMDA	[6384-92-5]	O=C(C(NC)CC(=O)O)O	Selective NMDA agonist	Prototypic NMDA receptor agonist. Also available as part of the Mixed NMDA Receptor Tocriset. Caged version also available (Cat. No 2224).	Watkins (1978) Excitatory amino acids. Kainic acid as a Tool in Neurobiology. Edited by E 37. Watkins and Evans (1981) Excitatory amino acid transmitters. Annu.Rev.Pharmacol.Toxicol. 21 165. PMID:6112965.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1710				Sep-1994
0125	DL-AP3	[20263-06-3]	NC(CP(O)(O)=O)C(O)=O	Group I mGlu antagonist	Competitive group I metabotropic glutamate receptor antagonist and inhibitor of phosphoserine phosphatase.	Evans et al (1982) The effect of a series of _-phosphonic-_-carboxylic amino acids on electrically evoked and amino acid induced responses in isolated spinal cord preparations. Br.J.Pharmacol. 75 65. PMID:7042024. Saugstad et al (1995) L-2-Amino-3-phosphonopropionic acid completely antagonizes metabotropic glutamate receptors 1_ and 5 in Xenopus oocytes. Eur.J.Pharmacol. 289 395. PMID:7621916. Hawkinson et al (1996) The metabotropic glutamate receptor antagonist L-2-amino-3-phosphonopropionic acid inhibits phosphoserine phosphatase. Eur.J.Pharmacol. 307 219. PMID:8832224.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1177				Jan-1901
0130	(+)-Bicuculline	[485-49-4]	[H][C@](C(C=CC6=C5OCO6)=C5C(O4)=O)4[C@]2([H])C1=CC3=C(OCO3)C=C1CCN2C	Potent GABAA antagonist	"Classical GABAA antagonist. Methoiodide salt (Cat. No. 2503), Methobromide salt (Cat. No. 0109) and Methochloride salt (Cat. No. 0131) also available."	"Merck Index 12 1250. Curtis et al (1970) GABA, bicuculline and central inhibition. Nature 226 1222. PMID:4393081. Olsen et al (1976) Studies on the neuropharmacological activity of bicuculline and related compounds. Brain Res. 102 283. PMID:1247886. Piredda et al (1985) Intracerebral site of convulsant action of bicuculline. Life Sci. 36 1295. PMID:3982215. Sieghart et al (1989) Multiplicity of GABAA-benzodiazepine receptors. TiPS 10 407. PMID:2559519."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2028	SQ1070			Jan-1901
0131	(-)-Bicuculline methochloride	[53552-05-9]	[H][C@](C(C=CC6=C5OCO6)=C5C(O4)=O)4[C@]2([H])C1=CC3=C(OCO3)C=C1CC[N+](C)2C.[Cl-]	Water-soluble GABAA antagonist	Methochloride salt of (+)-bicuculline (Cat. No. 0130). Water soluble and more stable than bicuculline. Non-GABA receptor-mediated actions reported.	Kemp et al (1986) Quantitative evaluation of the potencies of GABA-receptor agonists and antagonists using the rat hippocampal slice preparation. Br.J.Pharmacol. 87 677. PMID:3011168. Seutin et al (1997) Evidence for a non-GABAergic action of quaternary salts of bicuculline on dopaminergic neurones. Neuropharmacology 36 1653. PMID:9517436. Seutin and Johnson (1999) Recent advances in the pharmacology of quaternary salts of bicuculline. TiPS 20 268. PMID:10390643.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2030				Jan-1901
0162	S-Sulfo-L-cysteine sodium salt	[7381-67-1]	[Na+].[H][C@](N)(CSS([O-])(=O)=O)C(O)=O	Group I agonist	EAA receptor agonist. Agonist at mGlu1_ and mGlu5a subtypes expressed in clonal RGT cell lines.	Mewett et al (1983) Pharmacology of the excitatory actions of sulphonic and sulphinic amino acids. CNS Receptors: From Molecular Pharmacology to Beha 163-174. Kingston et al (1998) Sulphur-containing amino acids are agonists for group 1 metabotropic receptors expressed in clonal RGT cell lines. Neuropharmacology 37 277. PMID:9681926.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1887				Jan-1901
0164	D-AP7	[81338-23-0]	N[C@@]([H])([C@](O)=O)CCCCCP(O)(O)=O	Specific NMDA antagonist. More active form of DL-AP7 (Cat. No. 0104)	More active form of AP7. DL Mixture (Cat. No. 0104) also available.	Perkins et al (1982) Isomers of 2-amino-7-phosphonoheptanoic acid as antagonists of neuronal excitants. Neurosci.Lett. 32 65. PMID:6755315.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1244				Jan-1901
0169	(RS)-AMPA	[74341-63-2]	CC1=C(CC(N)C(O)=O)C(O)=NO1	Selective AMPA agonist	"Prototypical and defining agonist for the AMPA subgroup of ionotropic glutamate receptors. Active enantiomer (S)-AMPA (Cat. No. 0254), inactive enantiomer (R)-AMPA (Cat. No. 0253) and hydrobromide salt (RS)-AMPA hydrobromide (Cat. No. 1074) also available."	"Krogsgaard-Larsen et al (1980) New class of glutamate agonist structurally related to ibotenic acid. Nature 284 64. PMID:6101908. Honore et al (1982) The binding of 3H-AMPA, a structural analogue of glutamic acid, to rat brain membranes. J.Neurochem. 38 173. PMID:6125564."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1167	SQ1070			Sep-1994
0173	(RS)-CPP	[100828-16-8]	O=C(C1NCCN(CCCP(O)(O)=O)C1)O	Potent NMDA antagonist	Potent NMDA antagonist. Separate isomer (R)-CPP also available (Cat. No. 0247).	"Davies et al (1986) CPP, a new potent and selective NMDA antagonist. Depression of central neuron responses, affinity for [3H]-D-AP5 binding sites on brain membranes and anti-convulsant activity. Brain Res. 382 169. PMID:2876749."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2221				Jan-1901
0178	Phaclofen	[114012-12-3]	ClC1=CC=C(C(CN)CP(O)(O)=O)C=C1	"Weak, selective GABAB antagonist"	Selective GABAB antagonist. Phosphono analog of GABAB agonist baclofen (Cat. No. 0417).	Kerr et al (1987) Phaclofen: a peripheral and central baclofen antagonist. Brain Res. 405 150. PMID:3032346. Hasuo and Gallagher (1988) Comparison of antagonism by phaclofen of baclofen induced hyperpolarization and synaptically mediated late hyperpolarizing potentials recorded intracellularly from rat dorsolateral septal neurons. Neurosci.Lett. 86 77. PMID:3362432. Karlsson et al (1988) Phaclofen: a GABAB blocker reduced long-duration inhibition in the neocortex. Eur.J.Pharmacol. 148 485. PMID:2838310.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1741				Jan-1901
0180	ZAPA sulfate	[371962-01-5]	OS(O)(=O)=O.NC(=N)S\C=C/C(O)=O	Agonist at 'low affinity' GABAA receptor. More potent than GABA/muscimol	More potent than either GABA or muscimol as an agonist at low affinity GABAA receptors and is thus a useful ligand to investigate GABA receptors linked to benzodiazepine receptors. Also a GABAC receptor antagonist.	"Allan et al (1986) Isothiouronium compounds as _-aminobutyric acid agonists. Br.J.Pharmacol. 88 379. PMID:3015310. Holden-Dye and Walker (1988) ZAPA, (Z)-3-[(aminoiminomethyl)thio]-2-propenoic acid hydrochloride, a potent agonist at GABA-receptors on the Ascaris muscle cell. Br.J.Pharmacol. 95 3. PMID:2851353. Johnston (1996) GABAC receptors: relatively simple transmitter-gated ion channels? TiPS 17 319. PMID:8885697."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1981				Sep-1994
0181	TACA	[38090-53-8]	NC/C=C/C(O)=O	GABAA agonist. Also GABA-T substrate and GABA uptake inhibitor	"The trans-isomer of CACA. Potent GABAA agonist, GABA uptake inhibitor and substrate for GABA-T. Also GABAC agonist."	Johnston et al (1975) cis and trans-4-Aminocrotonic acid as GABA analogues of restricted conformation. J.Neurochem. 24 157. PMID:234147. Johnston et al (1996) GABAC receptors: relatively simple transmitter-gated ion channels. TiPS 17 319. PMID:8885697. Chebib et al (1997) Analogues of _-aminobutyric acid (GABA) and trans-4-aminocrotonic acid (TACA) substituted in the 2 position as GABAC receptor antagonists. Br.J.Pharmacol. 122 1551. PMID:9422798.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1892	SQ1533			Jan-1901
