UNII	MarketingStatus	ProductCategory	MarketDate	InitialYearApproval	ActiveCode	ApprovalAppId	Equiv NDC	NDC	Route	ActiveMoietyName	GenericProductName	URL	Indications	Comment
509F88P9SZ	NDA	HUMAN OTC DRUG LABEL	2009-06-05		ACTIB	NDA019918		63736-024	TOPICAL	PERMETHRIN	PERMETHRIN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8bc95ef1-ea25-4ae7-a6e4-57e3e300a2c1		
64O047KTOA	ANDA	HUMAN OTC DRUG LABEL	2008-04-22		ACTIB	ANDA090182		52549-2088	ORAL	CETIRIZINE HYDROCHLORIDE	CETIRIZINE HYDROCHLORIDE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a33ef305-4372-403d-9421-97985de33d4c		
7AJO3BO7QN	ANDA	HUMAN OTC DRUG LABEL	2004-08-20		ACTIB	ANDA076805		52549-2085	ORAL	LORATADINE	LORATADINE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f12eb5ec-2eb4-4990-9f43-73469c2744d3		
S57Y5X1117	ANDA	HUMAN OTC DRUG LABEL	2007-08-22		ACTIB	ANDA075915		63094-0426	VAGINAL	TIOCONAZOLE	TIOCONAZOLE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=11ddf219-8537-4a8f-b267-ef965159885e		
7CUC9DDI9F	OTC monograph final	HUMAN OTC DRUG LABEL	2009-08-24		ACTIB	21 CFR 341		43378-126	ORAL	PSEUDOEPHEDRINE	CODEINE PHOSPHATE, GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=20019e0e-7da5-4126-8595-06ec42ee8322		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-09-05		ACTIB	21 CFR 333		41900-100	TOPICAL	TRICLOSAN	ADVANCED HAND SANITIZING GEL	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0a19fea1-1ac0-4b1c-b49f-9f0854d35ad8		
RU45X2JN0Z	OTC monograph final	HUMAN OTC DRUG LABEL	2009-08-25		ACTIB	21 CFR 355		68747-6031	DENTAL	POTASSIUM NITRATE	FLUORIDE TOOTHPASTE	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7bbd3de6-b26b-49bf-80e8-717d6b33ed17		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-09-05		ACTIB	21 CFR 333		41900-400	TOPICAL	TRICLOSAN	ADVANCED HAND SANITIZING WIPES	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=993c5668-87bb-4a7d-9da7-5a3f43e76bdc		
BGG1Y1ED0Y	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-07-10		ACTIB	21 CFR 333		10889-301	CUTANEOUS	TRICLOCARBAN	TRICLOCARBAN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b3598ec2-9432-4870-bf1b-0f79c301b6ae		
BGG1Y1ED0Y	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-07-14		ACTIB	21 CFR 333		10889-100	CUTANEOUS	TRICLOCARBAN	TRICLOCARBAN	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=705de695-7bac-4c0e-93fd-91fbd1feea2f		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-10-01		ACTIB	21 CFR 333		41900-200	TOPICAL	TRICLOSAN	ADVANCED  HAND SANITIZING GEL	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4c499b0c-a2d5-48f1-bc42-226c075d17b8		
4NM5039Y5X	OTC monograph not final	HUMAN OTC DRUG LABEL	2009-10-01		ACTIB	21 CFR 333		41900-500	TOPICAL	TRICLOSAN	ADVANCED HAND SANITIZING SPRAY	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b1a50a4a-c3ae-40fd-a735-f03021579a6e		
89NA02M4RX	OTC monograph final	HUMAN OTC DRUG LABEL	2009-09-30		ACTIB	21 CFR 341		44597-5605	ORAL	PECTIN	PECTIN AND ECHINACEA PURPUREA	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=90997764-0ed5-4c09-a225-aceb8e8ad3ee	"Let Whatta-Melon® help soothe your child's sore throat. We have specially formulated these great tasting Watermelon ""GOODYPOPS™"" with Pectin, Echnicancea and Vitamin C.Pectin is a natural substance found in citrus fruits, and is extremely effective in temporarily relieving your childs sore throat. In additioin, the Echinacea and Vitamin C combination will offer additional support throughout the cold season. Why the ""GOODYPOPS™"" name? The Pectin will make your child's sore throat feel ""good.""The Echinacea and Vitamin C make GOODYPOPS™.The Watermelon flavour tastes ""good"". Well actually, it tastes AMAZING!"	
