UNII	IIG-ID	Route	Strength	IIG-URL
21334LVV8W	.ALPHA.-TERPINEOL:TOPICAL:LOTION:%w/w	TOPICAL	11%w/w TOPICAL LOTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:BUCCAL:FILM, SOLUBLE:mg	BUCCAL	0.07mg BUCCAL FILM, SOLUBLE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:INTRAVENOUS:INJECTION, POWDER, FOR SUSPENSION:mg	INTRAVENOUS	0.64mg INTRAVENOUS INJECTION, POWDER, FOR SUSPENSION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:ORAL:CAPSULE:	ORAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:ORAL:SOLUTION:mg/1ml	ORAL	1.05mg/1ml ORAL SOLUTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:ORAL:TABLET:	ORAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:ORAL:TABLET, CHEWABLE:mg	ORAL	0.1mg ORAL TABLET, CHEWABLE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:ORAL:TABLET, EXTENDED RELEASE:	ORAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:ORAL:TABLET, FILM COATED:	ORAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:TOPICAL:OINTMENT:NA	TOPICAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
H4N855PNZ1	.ALPHA.-TOCOPHEROL:TOPICAL:SYSTEM:mg	TOPICAL	0.1mg TOPICAL SYSTEM	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
9E8X80D2L0	.ALPHA.-TOCOPHEROL ACETATE:BUCCAL:FILM:mg	BUCCAL	0.09mg BUCCAL FILM	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
9E8X80D2L0	.ALPHA.-TOCOPHEROL ACETATE:ORAL:CAPSULE:mg	ORAL	2mg ORAL CAPSULE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
9E8X80D2L0	.ALPHA.-TOCOPHEROL ACETATE:ORAL:TABLET:mg	ORAL	0.5mg ORAL TABLET	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
WR1WPI7EW8	.ALPHA.-TOCOPHEROL ACETATE, DL-:TOPICAL:AEROSOL, FOAM:NA	TOPICAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
WR1WPI7EW8	.ALPHA.-TOCOPHEROL ACETATE, DL-:TOPICAL:OINTMENT:NA	TOPICAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:INTRAVENOUS:INJECTION, EMULSION:	INTRAVENOUS		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:INTRAVENOUS:SOLUTION, CONCENTRATE:%w/v	INTRAVENOUS	0.08%w/v INTRAVENOUS SOLUTION, CONCENTRATE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:ORAL:CAPSULE:	ORAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:ORAL:POWDER, FOR SUSPENSION:NA	ORAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:ORAL:SUSPENSION:mg/1ml	ORAL	0.01mg/1ml ORAL SUSPENSION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:ORAL:TABLET:mg	ORAL	0.12mg ORAL TABLET	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:ORAL:TABLET, CHEWABLE:mg	ORAL	0.02mg ORAL TABLET, CHEWABLE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:TOPICAL:AEROSOL, FOAM:NA	TOPICAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:TOPICAL:OINTMENT:NA	TOPICAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
7QWA1RIO01	.ALPHA.-TOCOPHEROL, DL-:TRANSDERMAL:SYSTEM:mg	TRANSDERMAL	0.14mg TRANSDERMAL SYSTEM	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=A
3VSI4D701X	1-(PHENYLAZO)-2-NAPHTHYLAMINE:ORAL:CAPSULE:mg	ORAL	0.13mg ORAL CAPSULE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=1
3VSI4D701X	1-(PHENYLAZO)-2-NAPHTHYLAMINE:ORAL:TABLET:mg	ORAL	0.2mg ORAL TABLET	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=1
W45XXM0XWE	1,2,6-HEXANETRIOL:TOPICAL:CREAM:	TOPICAL		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=1
043IPI2M0K	1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE:INTRAVENOUS:INJECTABLE, LIPOSOMAL:%w/v	INTRAVENOUS	2.8%w/v INTRAVENOUS INJECTABLE, LIPOSOMAL	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=1
043IPI2M0K	1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE:INTRAVENOUS:INJECTION:	INTRAVENOUS		https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=1
