UNII	MarketingStatus	ProductCategory	MarketDate	InitialYearApproval	ActiveCode	ApprovalAppId	Equiv NDC	NDC	Route	ActiveMoietyName	GenericProductName	URL	Indications	Comment
MOR84MUD8E	unapproved other	OTC ANIMAL DRUG LABEL	2008-06-26		ACTIB			66818-009		"CHLORHEXIDINE GLUCONATE"	"CHLORHEXIDINE GLUCONATE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=89a50e15-0f6b-4352-ad62-0b749f7eed8a		
MOR84MUD8E	Unapproved drug other	OTC ANIMAL DRUG LABEL	2009-08-11		ACTIM			49845-001		"CHLORHEXIDINE GLUCONATE"	"CHLORHEXIDINE GLUCONATE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa96bf22-5a2d-4fe0-928e-b381555f08ef		
NR4B2SX17S	ANADA	OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG LABEL	2009-01-01		ACTIM	ANADA200167		46573-022		"CHLORTETRACYCLINE CALCIUM"	"CHLORTETRACYCLINE CALCIUM, SULFATHIAZOLE AND PENICILLIN G PROCAINE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b328a765-8ad0-4bd6-ae71-dfa043e579ce		
Y7FKS2XWQH	ANADA	OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG LABEL	2009-01-01		ACTIB	ANADA200167		46573-022		"SULFATHIAZOLE"	"CHLORTETRACYCLINE CALCIUM, SULFATHIAZOLE AND PENICILLIN G PROCAINE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b328a765-8ad0-4bd6-ae71-dfa043e579ce		
Q42T66VG0C	ANADA	OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG LABEL	2009-01-01		ACTIM	ANADA200167		46573-022		"PENICILLIN G"	"CHLORTETRACYCLINE CALCIUM, SULFATHIAZOLE AND PENICILLIN G PROCAINE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b328a765-8ad0-4bd6-ae71-dfa043e579ce		
4Z8Y51M438	ANADA	OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG LABEL	2009-01-01		ACTIM	ANADA200167		46573-022		"PROCAINE"	"CHLORTETRACYCLINE CALCIUM, SULFATHIAZOLE AND PENICILLIN G PROCAINE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b328a765-8ad0-4bd6-ae71-dfa043e579ce		
1JQS135EYN	ANADA	PRESCRIPTION ANIMAL DRUG LABEL	2004-05-04		ACTIB	ANADA200328		60270-841		"OXYTOCIN"	"OXYTOCIN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9e16a32c-94dd-4738-869f-847a58b3d996	Because of the specific action of oxytocin upon the uterinne musculature, it is recommended as an aid in the management of the following conditions:1)   To precipitate labor2)   To accelerate normal parturition3)   Postpartum evacuation of uterine debris4)   Postoperative contraction of the uterus following a cesarean section and control of uterine hemorrhage.Oxytocin will contract the smooth muscle cells of the mammary gland to induce milk let-down if the udder is in a proper physiological state.	
R533ESO2EC	unapproved drug other	OTC ANIMAL DRUG LABEL	2000-01-01		ACTIB			24730-604		"COAL TAR"	"MEDICATED COAL TAR SHAMPOO"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=07cdb5ac-14dd-4fa2-b766-31000b7e3522		
WI4X0X7BPJ	unapproved drug other	OTC ANIMAL DRUG LABEL	2000-01-01		ACTIB			24730-805		"HYDROCORTISONE"	"HYDROCORTISONE SHAMPOO"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=193cfc89-2375-45d6-98e8-f70c32bc3ce2		
WI4X0X7BPJ	unapproved drug other	OTC ANIMAL DRUG LABEL	2000-01-01		ACTIB			24730-803		"HYDROCORTISONE"	"HYDROCORTISONE SPRAY"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a71cd3d5-40c5-479d-bca3-846244407900		
30CPC5LDEX	unapproved drug other	OTC ANIMAL DRUG LABEL	2001-01-01		ACTIB			24730-304		"SULFADIMETHOXINE"	"SULFADIMETHOXINE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=62894132-82d5-41b3-8fa6-e61855084e09		
8883YP2R6D	ANADA	OTC ANIMAL DRUG LABEL	2007-04-01		ACTIB	ANADA200437		55529-012		"IVERMECTIN"	"IVERMECTIN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=67eefc16-33e8-422a-a677-dbd0f09b69a4		
8883YP2R6D	ANADA	OTC ANIMAL DRUG LABEL	2007-04-01		ACTIB	ANADA200437		13985-034		"IVERMECTIN"	"IVERMECTIN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3722c3be-744b-4367-a016-ccc971324126		
8883YP2R6D	ANADA	OTC ANIMAL DRUG LABEL	2007-04-20		ACTIB	ANADA200436		13985-038		"IVERMECTIN"	"IVERMECTIN AND CLORSULON"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e68bf871-4c05-4965-959e-aa0f550b8751	Vetrimec™ Plus Injection is indicated for the effective treatment and control of the following parasites in cattle:  Gastrointestinal Roundworms (adults and fourth-stage larvae):  Ostertagia ostertagi (including inhibited O. ostertagi) O. lyrata  Haemonchus placei  Trichostrongylus axei  T. colubriformis  Cooperia oncophora  C. punctata  C. pectinata  Bunostomum phlebotomum  Nematodirus helvetianus (adults only) N. spathiger (adults only) Oesophagostomum radiatum  Lungworms (adults and fourth-stage larvae):  Dictyocaulus viviparus  Liver Flukes:  Fasciola hepatica (adults only)  Cattle Grubs (parasitic stages):  Hypoderma bovis  H. lineatum  Sucking Lice:  Linognathus vituli  Haematopinus eurysternus  Solenopotes capillatus  Mange Mites (cattle scab*):  Psoroptes ovis (syn. P. communis var. bovis) Sarcoptes scabiei var. bovis	
EG1ZDO6LRD	ANADA	OTC ANIMAL DRUG LABEL	2007-04-20		ACTIB	ANADA200436		13985-038		"CLORSULON"	"IVERMECTIN AND CLORSULON"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e68bf871-4c05-4965-959e-aa0f550b8751	Vetrimec™ Plus Injection is indicated for the effective treatment and control of the following parasites in cattle:  Gastrointestinal Roundworms (adults and fourth-stage larvae):  Ostertagia ostertagi (including inhibited O. ostertagi) O. lyrata  Haemonchus placei  Trichostrongylus axei  T. colubriformis  Cooperia oncophora  C. punctata  C. pectinata  Bunostomum phlebotomum  Nematodirus helvetianus (adults only) N. spathiger (adults only) Oesophagostomum radiatum  Lungworms (adults and fourth-stage larvae):  Dictyocaulus viviparus  Liver Flukes:  Fasciola hepatica (adults only)  Cattle Grubs (parasitic stages):  Hypoderma bovis  H. lineatum  Sucking Lice:  Linognathus vituli  Haematopinus eurysternus  Solenopotes capillatus  Mange Mites (cattle scab*):  Psoroptes ovis (syn. P. communis var. bovis) Sarcoptes scabiei var. bovis	
1OYM338E89	unapproved drug other	PRESCRIPTION ANIMAL DRUG LABEL	2010-04-01		ACTIB			52338-390		"HARPAGOPHYTUM PROCUMBENS ROOT"	"DEVILS CLAW CUT ROOT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0c01c369-eb55-444c-aa5a-5d963a063ccf		
