UNII	Ingredient	AppNo	Rx	Status	AppType	Sponsor	Trade Name	Reference	Routes	Ingredients
98LQ6RS0TA	ROMIFIDINE HYDROCHLORIDE	141-229	RX	Approved	N	Boehringer Ingelheim Vetmedica, Inc.	Sedivet®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-229	Intravenous	Romifidine hydrochloride
M41L2IN55T	BISMUTH SUBCARBONATE	042-548	RX	Approved	N	Zoetis Inc.	Amforol® Suspension	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/042-548	Oral	Attapulgite|Bismuth Subcarbonate|Kanamycin Sulfate
9DUJ3CMK8S	NITROMIDE	011-141	OTC	Voluntarily Withdrawn	N	Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.	Unistat-2 Type A Medicated Premix	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-141	Oral	Nitromide|Sulfanitran
3I9J454G9F	NEOMYCIN PALMITATE	040-322	RX	Approved	N	Intervet, Inc.	Kymar Ointment Improved	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/040-322	Topical	Hydrocortisone Acetate|Chymotrypsin|Neomycin Palmitate|Trypsin
C8493J9B36	PIPERAZINE SULFATE	010-447	OTC	Voluntarily Withdrawn	N	Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.	Wormal Granules	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-447		Piperazine Sulfate|Phenothiazine|Dibutyltin Dilaurate
418M5916WG	CHLORAL HYDRATE	046-789	RX	Approved	N	Zoetis Inc.	Chloropent	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/046-789	Intravenous	Magnesium Sulfate|Chloral Hydrate|Pentobarbital
57U5YI11WP	CHLORPHENESIN CARBAMATE	038-160	RX	Approved	N	Zoetis Inc.	Maolate® Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/038-160	Oral	Chlorphenesin Carbamate
4R1VB9P8V3	STANOZOLOL	015-506	RX	Approved	N	Zoetis Inc.	Winstrol-V® Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/015-506	Oral	Stanozolol
9E75N4A5HM	TRIFLUPROMAZINE HYDROCHLORIDE	011-482	RX	Approved	N	Zoetis Inc.	Vetame Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-482	Intravenous|Intramuscular	Triflupromazine Hydrochloride
534I52PVWH	DECOQUINATE	039-417	OTC	Approved	N	Zoetis Inc.	Deccox®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/039-417	Oral	Decoquinate
5J847L84W0	SULFAMETHAZINE BISULFATE	055-012	RX	Approved	N	Huvepharma EOOD	Chloronex® Sulmet® 	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/055-012	Oral	Chlortetracycline Bisulfate|Sulfamethazine bisulfate
4W5HDS3936	MELENGESTROL ACETATE	034-254	OTC	Approved	N	Zoetis Inc.	MGA® 100	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/034-254	Oral	Melengestrol Acetate
98IMH7M386	NEOSTIGMINE METHYLSULFATE	008-097	RX	Approved	N	Intervet, Inc.	Stiglyn 1:500	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/008-097	Intramuscular|Subcutaneous	Neostigmine Methylsulfate
0W72P6E6EY	BICYCLOHEXYLAMMONIUM FUMAGILLIN	009-252	RX	Withdrawn	N	Mid-Continent Agrimarketing, Inc.	FUMIDIL B	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-252		Bicyclohexylammonium fumagillin
1018WH7F9I	DEXMEDETOMIDINE HYDROCHLORIDE	141-267	RX	Approved	N	Orion Corp.	Dexdomitor®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-267	Intravenous|Intramuscular	Dexmedetomidine hydrochloride
MUN5LYG46H	FENTANYL CITRATE	030-438	RX	Approved	N	Intervet, Inc.	Innovar®-Vet Injection	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/030-438	Intravenous|Intramuscular	Droperidol|Fentanyl Citrate
057Y626693	NEOMYCIN SULFATE	010-524	RX	Approved	N	Zoetis Inc.	Neo-Cortef® with Tetracaine	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-524	Topical	Hydrocortisone Acetate|Neomycin Sulfate|Tetracaine Hydrochloride
NHI34IS56E	CEFTIOFUR SODIUM	140-338	RX	Approved	N	Zoetis Inc.	Naxcel® Sterile Powder	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/140-338	Subcutaneous|Intramuscular	Ceftiofur Sodium
G07GZ97H65	CLOTRIMAZOLE	116-089	RX	Approved	N	Bayer HealthCare LLC, Animal Health Division	Veltrim 1% Dermatologic Cream	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/116-089	Topical	Clotrimazole
	AROMATIC PETROLEUM DERIVATIVES	012-361	RX	Voluntarily Withdrawn	N	Mallinckrodt Veterinary, Inc.	Ectoral Emulsifiable Conc.	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/012-361		Ronnel|Aromatic Petroleum Derivatives
V7P5P122LB	PIPERAZINE ADIPATE	009-821	OTC	Voluntarily Withdrawn	N	Carson Chemicals, Inc.	Asca-Trol #3	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-821		Piperazine Adipate
19371312D4	POLYMYXIN B SULFATE	008-763	OTC	Approved	N	Zoetis Inc.	Terramycin® Ophthalmic Ointment with Polymyxin	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/008-763	Ophthalmic	Oxytetracycline Hydrochloride|Polymyxin B Sulfate
3BN7M937V8	IMIDACLOPRID	141-208	RX	Approved	N	Bayer HealthCare LLC, Animal Health Division	Advantage® DUO	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-208	Topical	Imidacloprid|Ivermectin
9OGY4BOR8D	MIBOLERONE	102-709	RX	Approved	N	Zoetis Inc.	Cheque® Drops	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/102-709	Oral	Mibolerone
0502PUN0GT	MILBEMYCIN OXIME	140-915	RX	Approved	N	Elanco US Inc.	Interceptor™	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/140-915	Oral	Milbemycin Oxime
GN5P7K3T8S	PHENYLBUTAZONE	010-987	RX	Approved	N	Intervet, Inc.	Butazolidin® Bolus	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-987	Oral	Phenylbutazone
7C782967RD	AMPICILLIN ANHYDROUS	055-013	RX	Approved	N	Zoetis Inc.	Omnipen 250 mg	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/055-013	Oral	Ampicillin Anhydrous
19XTS3T51U	DOXYCYCLINE HYCLATE	141-082	RX	Approved	N	Zoetis Inc.	Doxirobe™ Gel	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/141-082	Subgingival	Doxycycline Hyclate
T4L2P3KH7K	THIAMYLAL SODIUM	010-809	RX	Approved	N	Zoetis Inc.	Surital	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-809	Intravenous|Intraperitoneal	Thiamylal Sodium
