UNII	MarketingStatus	ProductCategory	MarketDate	InitialYearApproval	ActiveCode	ApprovalAppId	Equiv NDC	NDC	Route	ActiveMoietyName	GenericProductName	URL	Comment
K9P8PVA2UG	BLA	VACCINE LABEL	2009-09-15	2009	ACTIB	BLA103837		66521-200	INTRAMUSCULAR	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009(H1N1)-LIKE HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED)"	"INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc5cfd1c-1ff5-4cfa-b544-db8d7f26d46f	
EYO007VX98	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6000	PERCUTANEOUS	"HOUSE DUST"	"HOUSE DUST"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
3Z252A2K9G	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6100	PERCUTANEOUS	"ALMOND"	"ALMOND FOOD"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
B423VGH5S9	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6101	PERCUTANEOUS	"APPLE"	"APPLE FOOD"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
269CJD5GZ9	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6102	PERCUTANEOUS	"APRICOT"	"APRICOT"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
Z1EJP3037Z	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6103	PERCUTANEOUS	"ASPARAGUS"	"ASPARAGUS"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
SDS87L369F	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6104	PERCUTANEOUS	"AVOCADO"	"AVOCADO"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
4AJZ4765R9	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6105	PERCUTANEOUS	"BANANA"	"BANANA"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
5PWM7YLI7R	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6106	PERCUTANEOUS	"BARLEY"	"BARLEY FOOD"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
8WB9PV3YW5	BLA	NON-STANDARDIZED ALLERGENIC LABEL	1965-01-01		ACTIB	BLA103753		0268-6107	PERCUTANEOUS	"BEAN"	"PINTO BEAN KIDNEY BEAN"	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=721936bc-3d1f-4be5-bb4a-9c87898aff37	
