UNII	Approval	Year	Unknown	Comment	Date	Date Method
JU58VJ6Y3B	Approval Year	1939		Application:NDA001546 MERCK SHARP DOHME https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=001546	10/02/1939	Drugs@FDA
D8L75GM22O	Approval Year	1991		Application:NDA019981 MALLINKRODT NUCLEAR https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019981	06/10/1991	Drugs@FDA
R9400W927I	Approval Year	1981		Application:NDA018533 JANSSEN PHARMS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018533	06/12/1981	Drugs@FDA
G70B4ETF4S	Approval Year	2003		Application:NDA021500 GILEAD https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021500	07/02/2003	Drugs@FDA
53PF01Q249	Approval Year	1967		Application:NDA016099 WYETH AYERST https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016099	02/08/1967	Drugs@FDA
362O9ITL9D	Approval Year	1950		Application:NDA016401 POLYMEDICA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016401	12/31/1950	Drugs@FDA
WS821Z52LQ	Approval Year	1964		Application:NDA013174 CONCORDIA PHARMS INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013174	08/10/1964	Drugs@FDA
EA6LD1M70M	Approval Year	1971		Application:NDA016979 BRISTOL MYERS SQUIBB https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016979	08/18/1971	Drugs@FDA
1AQ60H5GT2	Approval Year	1953		Application:NDA008869 LILLY https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008869	04/22/1953	OB NME Appendix 1950-1985
884KT10YB7	Approval Year	1983		Application:NDA018703 GLAXO GRP LTD https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018703	06/09/1983	Drugs@FDA
EH28UP18IF	Approval Year	1982		Application:NDA018662 HOFFMANN LA ROCHE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018662	05/07/1982	Drugs@FDA
36KCS0R750	Approval Year	1984		Application:NDA019011 BRAINTREE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019011	07/13/1984	Drugs@FDA
H8A007M585	Approval Year	2008		Application:NDA022304 DEPOMED INC https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022304	11/20/2008	Drugs@FDA
5W494URQ81	Approval Year	1982		Application:NDA050577 TEVA PHARMS USA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050577	05/07/1982	Drugs@FDA
K2J09EMJ52	Approval Year	1987		Application:NDA013294 ROCHE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013294	09/10/1987	OrangeBook
HDC1R2M35U	Approval Year	2014		Application:NDA204629 BOEHRINGER INGELHEIM https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204629	08/01/2014	Drugs@FDA
37CQ2C7X93	Approval Year	2009		Application:BLA125319 NOVARTIS PHARMS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125319	06/17/2009	Drugs@FDA
CX3T89XQBK	Approval Year	2009		Application:NDA022393 CELGENE https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022393	11/05/2009	Drugs@FDA
VVJ6673MHY	Approval Year	1958		Application:NDA011366 STRONGBRIDGE US https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011366	07/22/1958	Drugs@FDA
T18F433X4S	Approval Year	1957		Application:NDA010895 PARKE DAVIS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010895	07/26/1957	OB NME Appendix 1950-1985
7SQY4ZUD30	Approval Year	2015		Application:BLA125516 UNITED THERAP https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125516	03/10/2015	Drugs@FDA
DL48G20X8X	Approval Year	1979		Application:NDA017874 GLAXOSMITHKLINE CON https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017874	12/31/1979	Drugs@FDA
88755TAZ87	Approval Year	1999		Application:NDA020965 DUSA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020965	12/03/1999	Drugs@FDA
OGG85SX4E4	Approval Year	1959		Application:NDA011836 SANOFI AVENTIS US https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011836	04/16/1959	Drugs@FDA
1JQS135EYN	Approval Year	1962		Application:NDA012285 RTRX https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012285	03/20/1962	OB NME Appendix 1950-1985
4Z63YK6E0E	Approval Year	2015		Application:BLA761036 JANSSEN BIOTECH https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761036	11/16/2015	Drugs@FDA
M94R1PM439	Approval Year	2006		Application:NDA021502 LOREAL USA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021502	07/21/2006	Drugs@FDA
033KF7V46H	Approval Year	2004		Application:NDA021682 MISSION PHARMA https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021682	05/17/2004	Drugs@FDA
35LT29625A	Approval Year	1981		Application:NDA018045 PHARMACIA AND UPJOHN https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018045	12/24/1981	Drugs@FDA
87PZU03K0K	Approval Year	2013		Application:NDA205109 VIFOR FRESENIUS https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205109	11/27/2013	Drugs@FDA
7DZO8EB0Z3	Approval Year	1981		Application:NDA018201 MERCK https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018201	10/05/1981	Drugs@FDA
