UNII	IIG-ID	Route	Strength	IIG-URL
1S66E28KXA	POLOXAMER 124:ORAL:SUSPENSION:MG/1ML	ORAL	0.09MG/1ML ORAL SUSPENSION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=P
1S66E28KXA	POLOXAMER 124:TOPICAL:GEL:%W/W	TOPICAL	0.2%W/W TOPICAL GEL	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=P
1S66E28KXA	POLOXAMER 124:TOPICAL:LOTION:%W/W	TOPICAL	0.2%W/W TOPICAL LOTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=P
TLM2976OFR	RIBOFLAVIN:ORAL:TABLET:MG	ORAL	0.03MG ORAL TABLET	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=R
QX10HYY4QV	SESAME OIL:ORAL:SOLUTION:QS/1mL	ORAL	QS/1mL ORAL SOLUTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:INTRAMUSCULAR:INJECTION:QS/1mL	INTRAMUSCULAR	QS/1mL INTRAMUSCULAR INJECTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:IM - SC:INJECTABLE:NA	IM - SC	IM - SC INJECTABLE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:IM - SC:INJECTION:NA	IM - SC	IM - SC INJECTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:IM - SC:INJECTION, SUSTAINED ACTION:NA	IM - SC	IM - SC INJECTION, SUSTAINED ACTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:INTRAMUSCULAR:INJECTABLE:NA	INTRAMUSCULAR	INTRAMUSCULAR INJECTABLE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:INTRAMUSCULAR:INJECTION:%V/V	INTRAMUSCULAR	70%V/V INTRAMUSCULAR INJECTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:INTRAMUSCULAR:SOLUTION, INJECTION:NA	INTRAMUSCULAR	INTRAMUSCULAR SOLUTION, INJECTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:ORAL:CAPSULE:MG	ORAL	162.5MG ORAL CAPSULE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:ORAL:CAPSULE, SOFT GELATIN:MG	ORAL	44.4MG ORAL CAPSULE, SOFT GELATIN	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:ORAL:CONCENTRATE:NA	ORAL	ORAL CONCENTRATE	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:ORAL:EMULSION:NA	ORAL	ORAL EMULSION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
QX10HYY4QV	SESAME OIL:ORAL:TABLET, COATED:NA	ORAL	ORAL TABLET, COATED	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
1Q73Q2JULR	SODIUM CITRATE, UNSPECIFIED FORM:TOPICAL:CREAM:%W/W	TOPICAL	0.12%W/W TOPICAL CREAM	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
1Q73Q2JULR	SODIUM CITRATE, UNSPECIFIED FORM:INTRAVENOUS:INJECTION:MG/1ML	INTRAVENOUS	1.64MG/1ML INTRAVENOUS INJECTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
1Q73Q2JULR	SODIUM CITRATE, UNSPECIFIED FORM:IV(INFUSION):INJECTION:MG/100ML	IV(INFUSION)	30MG/100ML IV(INFUSION) INJECTION	https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm?event=browseByLetter.page&Letter=S
