Application Number	Trade Name	Sponsor Name
004-536	Somnopentyl Injection	"Intervet, Inc."
005-236	Sulfodene¨ Medication for Dogs	"Farnam Companies, Inc."
005-633	Protomone Thyroactive Casein	"Agri-Tech, Inc."
006-084	"Sulmet¨ Drinking Water Solution, 12.5%"	Huvepharma EOOD
006-103	Follutein Veterinary	Zoetis Inc.
006-281	Intragel	Zoetis Inc.
006-391	S.Q. 40%	Huvepharma EOOD
006-417	Recovr Injectable	"Kinetic Technologies, LLC"
006-602	"A-H-Tablets 100 mg, A-H-Tablets 25 mg"	"Intervet, Inc."
006-623	Caparsolate Sodium	"Merial, Inc."
006-677	20% Sulfaquinoxaline Sodium Solution	Huvepharma EOOD
006-691	Vermiplex	"Intervet, Inc."
006-707	Sulquin¨ 6-50 Concentrate	Zoetis Inc.
006-891	Sul-Q-Nox¨	Huvepharma EOOD
006-983	A-H Injection	"Intervet, Inc."
007-087	25 % S.Q.¨ Soluble	Huvepharma EOOD
007-829	Happy Jack Tapeworm Tablets	"Happy Jack, Inc."
007-879	Terramycin¨ Vet Capsules	Zoetis Inc.
007-981	Soxisol Tablets	Zoetis Inc.
008-097	Stiglyn 1:500	"Intervet, Inc."
008-422	Seleen¨ Suspension	"Merial, Inc."
008-622	"TERRAMYCIN-343¨, TERRAMYCIN¨, TERRAMYCIN¨ Soluble Powder Concentrate"	Zoetis Inc.
008-760	Adrenomone	"Putney, Inc."
008-763	Terramycin¨ Ophthalmic Ointment with Polymyxin	Zoetis Inc.
008-769	"Liquamycin¨ Injectable, Terramycin¨ Injectable"	Zoetis Inc.
008-774	Sulmet¨ Solution Injectable	Huvepharma EOOD
008-804	"TM-50¨ , TM-50¨ D , TM-100¨ , TM-100¨D "	Phibro Animal Health Corp.
008-932	Kemithal L.A.	Zoetis Inc.
009-035	Ophthaine¨ Solution	Zoetis Inc.
009-167	P.L.H. Injectable	"Intervet, Inc."
009-339	"Carafen Cough Syrup, Carafen Cough Tablets"	Zoetis Inc.
009-392	Primidone	Zoetis Inc.
009-476	Nicarb¨ 25%	Phibro Animal Health Corp.
009-576	"Synovex¨ C, Synovex¨ S"	Zoetis Inc.
009-782	Nolvasan¨ Antiseptic Ointment	Zoetis Inc.
009-809	Nolvasan¨ Cap-Tabs¨	Zoetis Inc.
009-963	Meticorten¨	"Intervet, Inc."
010-005	"Wazine¨ 17, Wazine¨ 34"	Fleming Laboratories
010-091	Mylepsin Tablets	Zoetis Inc.
010-092	Gallimycin¨-100P	Bimeda Animal Health Limited
010-312	Meticortelone Acetate	"Intervet, Inc."
010-346	Combuthal Powder	Bimeda Animal Health Limited
010-424	Nalline Hydrochloride	"Merial, Inc."
010-434	Nolvasan¨ Suspension	Zoetis Inc.
010-524	Neo-Cortef¨ with Tetracaine	Zoetis Inc.
010-793	Nonemic	"Intervet, Inc."
010-809	Surital	Zoetis Inc.
010-865	Ferrextran 100	Zoetis Inc.
010-918	"Hygromixª 8, Hygromixª 2.4"	Elanco US Inc.
010-987	"Butazolidin¨ Bolus, Butazolidin¨ Tablets"	"Intervet, Inc."
011-060	Terramycin¨ Scour Tablets	Zoetis Inc.
011-080	Hydeltrone-TBA Suspension	"Merial, Inc."
011-116	Zoamix¨ Type A Medicated Article	Zoetis Inc.
011-154	NFZ¨ Puffer	Neogen Corp.
011-222	Diquel Tablet	"Intervet, Inc."
011-241	Promazine HCl Injectable	Zoetis Inc.
011-299	Parvex¨ Suspension	Zoetis Inc.
011-315	"Neomix¨ 325 Soluble Powder, Neomix¨ AG 325 Soluble Powder"	Zoetis Inc.
011-403	Medrol¨ Tablets	Zoetis Inc.
011-427	Synovex¨ H	Zoetis Inc.
011-437	Hydeltrone Ointment	"Merial, Inc."
011-482	"Vetame Injectable, Vetame Tablets"	Zoetis Inc.
011-531	Dizan Tablets	Cronus Pharma Specialities India Private Limited
011-532	Sulfabrom 2.5 g	"Merial, Inc."
011-575	Butazolidin¨ Injectable 20%	"Intervet, Inc."
011-582	Vetamox Soluble Powder	Zoetis Inc.
011-590	Parvex¨ Bolus	Zoetis Inc.
011-593	Solu-Delta Cortef¨ Sterile Powder	Zoetis Inc.
011-644	Felac	Zoetis Inc.
011-674	Dizan Powder	Cronus Pharma Specialities India Private Limited
011-678	Diuril¨ Tablet	"Merial, Inc."
011-700	Cortaba¨ Tablets	Zoetis Inc.
011-703	Neo-Delta-Cortef¨ with Tetracaine Ointment	Zoetis Inc.
011-789	Predef¨ 2x Sterile Aqueous Suspension	Zoetis Inc.
011-877	Jenotone Tablets	"Intervet, Inc."
011-879	"Rubrafer, Rubrafer S-100"	Zoetis Inc.
011-885	Azium¨ Tablets 0.25 mg	"Intervet, Inc."
011-893	Dermathycin Injectable	"Intervet, Inc."
011-901	Azium¨ Aqueous Suspension Veterinary	"Intervet, Inc."
011-948	Hygromix 2.4	Elanco US Inc.
011-953	"Biosol¨ Sterile Solution, Biosol¨ Sterile Solution 50 mg"	Zoetis Inc.
012-087	Bactrovet Tablets 250 mg	"Intervet, Inc."
012-123	"Erythro¨ - 100, 200, Gallimycin¨-100"	Bimeda Animal Health Limited
012-198	Vetalog¨ Parenteral	"Boehringer Ingelheim Vetmedica, Inc."
012-204	Depo-Medrol¨ (20 mg) Sterile Aqueous Suspension	Zoetis Inc.
012-227	Fulvicin U/F¨ Tablets	"Intervet, Inc."
012-258	Panolog¨ Ointment	Zoetis Inc.
012-350	"Amprol¨ 25% Type A Medicated Article, Corid¨ Type A Medicated Article"	Huvepharma EOOD
012-375	Albamix¨ Feed Medication	Zoetis Inc.
012-437	Temaril-P¨ Tablets	Zoetis Inc.
012-469	Dizan Suspension With Piperazine	Cronus Pharma Specialities India Private Limited
012-491	"Tylanª 10, Tylanª 40, Tylanª 100, Tylanª 100 CAL"	Elanco US Inc.
012-559	Azium¨ Solution	"Intervet, Inc."
012-635	BO-SE	"Intervet, Inc."
012-656	Promazine Granules	Zoetis Inc.
