Application Number	Date Withdrawn	Ingredients	Sponsor When Withdrawn
005-414	01/06/2014	Roxarsone	Zoetis Inc.
006-019	01/06/2014	Roxarsone	Zoetis Inc.
006-032	12/22/1995	Diphenylhydantoin Sodium	Parke-Davis Div. Warner-Lambert Co.
006-081	01/06/2014	Roxarsone	Zoetis Inc.
006-462	07/15/1996	Diethylcarbamazine Citrate	"Bayer HealthCare LLC, Animal Health Division"
006-475	11/03/1994	"Butacaine Sulfate, Nitrofurazone"	SmithKline Beecham Animal Health
006-776	03/24/1997	Sulfaquinoxaline	"Alpharma, LLC, a wholly owned subsidiary of Pfizer, Inc."
007-076	06/20/2016	Sulfaquinoxaline	Cross Vetpharm Group Ltd.
007-285	06/06/1994	Sulfaquinoxaline	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
007-404	01/23/1989	Pyrilamine Maleate	"Norden Laboratories, Inc."
007-616	12/31/2015	Nitarsone	Zoetis Inc.
007-891	12/02/2013	Roxarsone	Zoetis Inc.
008-019	12/06/2013	Arsanilic Acid	Fleming Laboratories
008-244	06/20/2016	Sulfaquinoxaline	Cross Vetpharm Group Ltd.
008-274	01/06/2014	Roxarsone	Zoetis Inc.
008-696	05/12/1998	Oxytetracycline (Monoalkyl Trimethyl Ammonium Salt)	"Pfizer, Inc."
008-741	12/31/1991	Dibutyltin Dilaurate	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
009-342	07/31/1989	Phthalofyne	"Mallinckrodt Veterinary, Inc."
009-505	05/31/2017	Follicle Stimulating Hormone	"Sioux Biochemical, Inc."
009-821	01/23/1989	Piperazine Adipate	"Carson Chemicals, Inc."
009-951	01/23/1989	Piperazine Adipate	"Carson Chemicals, Inc."
009-997	03/14/1994	Diphemanil Methylsulfate	"Intervet, Inc."
010-158	07/31/1995	"Bismuth Subsalicylate, Furamazone"	"Proctor & Gamble Pharmaceuticals, Inc."
010-175	02/19/1993	Nicarbazin	Manna Pro Corporation
010-285	12/02/2013	Carbarsone	Zoetis Inc.
010-335	06/30/1992	"Dibutyltin Dilaurate, Phenothiazine, Piperazine"	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
010-358	07/31/1995	Nitrofurantoin	"Proctor & Gamble Pharmaceuticals, Inc."
010-447	06/30/1992	"Dibutyltin Dilaurate, Phenothiazine, Piperazine Sulfate"	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
010-481	09/06/2005	Salicylic Acid	"Jorgensen Laboratories, Inc."
010-540	07/15/1996	Calcium Disodium Edetate	"Bayer HealthCare LLC, Animal Health Division"
010-661	02/27/1995	Oxytetracycline Hydrochloride	"Pfizer, Inc."
010-782	09/06/2005	Promazine Hydrochloride	Wyeth Laboratories
010-783	02/18/1994	Promazine Hydrochloride	Wyeth Laboratories
010-886	09/06/2005	Piperazine Monohydrochloride	"Virbac AH, Inc."
010-905	07/31/1989	Chlorpromazine Hydrochloride	"Mallinckrodt Veterinary, Inc."
010-955	08/27/1990	Iron Dextran Complex	"Boehringer Ingelheim Vetmedica, Inc."
011-034	05/12/1998	Oxytetracycline Hydrochloride	"Pfizer, Inc."
011-141	11/05/2010	"Nitromide, Sulfanitran"	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
011-380	07/15/1996	Diethylcarbamazine Citrate	"Bayer HealthCare LLC, Animal Health Division"
011-699	07/31/1989	Phthalofyne	"Mallinckrodt Veterinary, Inc."
011-779	11/02/2018	Colloidal Ferric Oxide	"Virbac AH, Inc."
011-871	02/18/1994	Iron Dextran Complex	"Pharmachem Specialties, Inc."
012-054	07/15/1996	Protokylol Hydrochloride	"Bayer HealthCare LLC, Animal Health Division"
012-103	07/15/1996	Triamcinolone	"Bayer HealthCare LLC, Animal Health Division"
012-291	07/31/1995	Nitrofurantoin	"Proctor & Gamble Pharmaceuticals, Inc."
012-360	07/31/1989	Ronnel	"Mallinckrodt Veterinary, Inc."
012-361	07/31/1989	"Aromatic Petroleum Derivatives, Ronnel"	"Mallinckrodt Veterinary, Inc."
012-392	07/15/1996	"Procaine Hydrochloride, Triamcinolone"	"Bayer HealthCare LLC, Animal Health Division"
012-444	12/22/1995	Prednisolone Acetate	"Akorn, Inc."
012-494	06/06/1994	Dextran	"Pharmachem Specialties, Inc."
012-548	09/08/2016	"Hygromycin B, Tylosin Phosphate"	"Elanco US, Inc."
012-554	07/31/1989	Sulfadimethoxine	"Mallinckrodt Veterinary, Inc."
012-585	05/14/2001	Tylosin Tartrate	"Elanco Animal Health, A Division of Eli Lilly & Co."
012-598	07/15/1996	Disophenol Sodium	"Bayer HealthCare LLC, Animal Health Division"
012-612	07/31/1995	"Diperodon Hydrochloride, Nifuroxime, Nitrofurazone"	"Proctor & Gamble Pharmaceuticals, Inc."
012-746	01/23/1989	Trifluomeprazine Maleate	"Norden Laboratories, Inc."
012-817	01/23/1989	Triethanolamine Polypeptide	Perdue Frederick Co.
013-029	07/25/1997	"Folic Acid, Pyridoxine Hydrochloride, Tylosin, Vitamin A, Vitamin B1, Vitamin B2, Vitamin B5, Vitamin D, Vitamin E"	"Elanco Animal Health, A Division of Eli Lilly & Co."
013-162	09/08/2016	Tylosin Phosphate	"Elanco US, Inc."
013-214	04/21/2014	Hygromycin B	"Virbac AH, Inc."
013-388	09/08/2016	"Hygromycin B, Tylosin"	"Elanco US, Inc."
013-450	06/28/1990	Ronnel	"ADM Alliance Nutrition, Inc."
013-467	05/17/2010	Novobiocin Sodium	"Pharmacia & Upjohn Co., a Division of Pfizer, Inc."
013-470	05/12/1998	Oxytetracycline Hydrochloride	"Pfizer, Inc."
013-618	07/31/1989	Piperacetazine	"Mallinckrodt Veterinary, Inc."
013-619	07/31/1989	Piperacetazine	"Mallinckrodt Veterinary, Inc."
014-250	11/05/2010	"Aklomide, Sulfanitran"	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
014-369	11/27/1992	"Sodium Edetate, Sodium Tripolyphosphate"	"Albion Laboratories, Inc."
014-485	02/13/2012	Methoxyflurane	Medical Developments International Ltd.
015-161	07/15/1996	Trichlorfon	"Bayer HealthCare LLC, Animal Health Division"
015-166	09/08/2016	Tylosin Phosphate	"Elanco US, Inc."
015-207	05/14/2001	Iron Dextran Complex	"Elanco Animal Health, A Division of Eli Lilly & Co."
015-965	07/15/1996	Coumaphos	"Bayer HealthCare LLC, Animal Health Division"
030-045	07/15/1996	"Neomycin Sulfate, Triamcinolone Acetonide"	"Bayer HealthCare LLC, Animal Health Division"
030-330	05/14/2001	"Sulfadiazine, Sulfamerazine, Sulfamethazine, Tylosin"	"Elanco Animal Health, A Division of Eli Lilly & Co."
030-525	09/20/2012	Oxymorphone Hydrochloride	Endo Pharmaceutical Co.
031-709	07/19/1991	Glycobiarsol	Sterling Drug Inc.
031-962	05/14/2001	"Neomycin Sulfate, Tylosin"	"Elanco Animal Health, A Division of Eli Lilly & Co."
031-971	03/02/2018	Cupric Glycinate	"Walco International, Inc."
032-322	02/13/2012	"Hexamethyltetracosane, Neomycin Sulfate, Prednisolone, Tetracaine"	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
032-984	08/27/2001	"Piperonyl Butoxide, Pyrethrins, Squalene"	"Evsco Pharmaceuticals, An Affiliate of IGI, Inc."
033-756	11/06/1989	Cellulose Acetate Sorbate	Johnson and Johnson
034-085	10/16/2017	Lincomycin Hydrochloride Monohydrate	Zoetis Inc.
034-394	07/15/1996	Niclosamide	"Bayer HealthCare LLC, Animal Health Division"
034-536	11/05/2010	"Aklomide, Roxarsone"	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
034-537	11/05/2010	"Aklomide, Roxarsone, Sulfanitran"	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
034-716	07/31/1995	Buquinolate	"Proctor & Gamble Pharmaceuticals, Inc."
035-263	07/15/1996	"Diethylcarbamazine Citrate, Styrylpyridinium Chloride"	"Bayer HealthCare LLC, Animal Health Division"
035-287	03/02/2018	Oleandomycin	Phibro Animal Health Corp.
035-314	07/31/1995	"Bacitracin Zinc, Buquinolate"	"Proctor & Gamble Pharmaceuticals, Inc."
035-315	07/31/1995	"Bacitracin Zinc, Buquinolate, Penicillin G Procaine"	"Proctor & Gamble Pharmaceuticals, Inc."
035-317	07/31/1995	"Buquinolate, Penicillin G Procaine"	"Proctor & Gamble Pharmaceuticals, Inc."
035-327	07/31/1995	"Bacitracin methylenedisalicylate, Buquinolate, Penicillin G Procaine"	"Proctor & Gamble Pharmaceuticals, Inc."
035-329	07/31/1995	"Bacitracin methylenedisalicylate, Buquinolate"	"Proctor & Gamble Pharmaceuticals, Inc."
035-388	11/05/2010	"Aklomide, Sulfanitran"	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
035-825	09/20/2012	Naloxone Hydrochloride	Endo Pharmaceutical Co.
036-682	02/06/1989	"Roxarsone, Zoalene"	Dow Chemical Co.
038-241	03/10/2014	"Arsanilic Acid, Erythromycin Thiocyanate, Zoalene"	Cross Vetpharm Group Ltd.
038-242	03/10/2014	"Amprolium, Arsanilic Acid, Erythromycin Thiocyanate, Ethopabate"	Cross Vetpharm Group Ltd.
038-247	02/12/1998	Hygromycin B	"Mountaire Feeds, Inc."
038-624	03/10/2014	"Arsanilic Acid, Erythromycin Thiocyanate"	Cross Vetpharm Group Ltd.
038-657	07/31/1995	"Buquinolate, Chlortetracycline Hydrochloride, Sodium Sulfate"	"Proctor & Gamble Pharmaceuticals, Inc."
038-879	03/10/2014	"Carbarsone, Zoalene"	Zoetis Inc.
039-077	03/31/2014	"Chlortetracycline Hydrochloride, Penicillin G Procaine, Sulfathiazole"	Zoetis Inc.
039-643	04/03/1989	Erythromycin Thiocyanate	"Roche Vitamins, Inc."
039-646	03/10/2014	"Bacitracin methylenedisalicylate, Carbarsone"	Zoetis Inc.
039-666	11/05/2010	"Nitromide, Roxarsone, Sulfanitran"	"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc."
039-770	07/09/1990	Arsenamide Sodium	"Fromm Laboratories, Inc."
039-880	04/03/1989	"Arsanilic Acid, Erythromycin"	"Roche Vitamins, Inc."
